Event Title,Market Title,Result,Settlement Date,Ticker,Volume
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 70,no,N/A,RTWITCHERS4-70,0
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 65,no,N/A,RTWITCHERS4-65,0
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 55,yes,N/A,RTWITCHERS4-55,11922
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 50,yes,N/A,RTWITCHERS4-50,10725
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 90::,no,N/A,RTWITCHERS4-90,5357
"""The Witcher: Season 4"" Rotten Tomatoes score?","Above 75:: This series is ""Certified Fresh!""",no,N/A,RTWITCHERS4-75,17955
"""The Witcher: Season 4"" Rotten Tomatoes score?","Above 60:: This series is ""Fresh!""",no,N/A,RTWITCHERS4-60,19449
"""The Witcher: Season 4"" Rotten Tomatoes score?",Above 45,yes,N/A,RTWITCHERS4-45,14003
"""Zootopia 2"" Rotten Tomatoes score?",Above 82,yes,N/A,KXRTZOOTOPIA2-82,1122
"""Zootopia 2"" Rotten Tomatoes score?",Above 87,yes,N/A,KXRTZOOTOPIA2-87,19656
"""Zootopia 2"" Rotten Tomatoes score?",Above 97,no,N/A,KXRTZOOTOPIA2-97,75454
"""Zootopia 2"" Rotten Tomatoes score?",Above 92,no,N/A,KXRTZOOTOPIA2-92,607494
"""Zootopia 2"" Rotten Tomatoes score?",Above 85,yes,N/A,KXRTZOOTOPIA2-85,38961
"""Zootopia 2"" Rotten Tomatoes score?",Above 95,no,N/A,KXRTZOOTOPIA2-95,354301
"""Zootopia 2"" Rotten Tomatoes score?",Above 80,yes,N/A,KXRTZOOTOPIA2-80,7870
"""Zootopia 2"" Rotten Tomatoes score?",Above 90,yes,N/A,KXRTZOOTOPIA2-90,165030
"""Zootopia 2"" Rotten Tomatoes score?",Above 75,yes,N/A,KXRTZOOTOPIA2-75,8534
"""Zootopia 2"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTZOOTOPIA2-60,2417
"""Zootopia 2"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTZOOTOPIA2-45,1467
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 97,no,N/A,KXRTWAKEUPDEADMAN-97,9671
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 95,no,N/A,KXRTWAKEUPDEADMAN-95,22570
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 92,yes,N/A,KXRTWAKEUPDEADMAN-92,12021
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 90,yes,N/A,KXRTWAKEUPDEADMAN-90,8231
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 87,yes,N/A,KXRTWAKEUPDEADMAN-87,4389
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 85,yes,N/A,KXRTWAKEUPDEADMAN-85,238
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 82,yes,N/A,KXRTWAKEUPDEADMAN-82,248
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 80,yes,N/A,KXRTWAKEUPDEADMAN-80,99
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 75,yes,N/A,KXRTWAKEUPDEADMAN-75,333
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 70,yes,N/A,KXRTWAKEUPDEADMAN-70,0
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 65,yes,N/A,KXRTWAKEUPDEADMAN-65,0
"""Wake Up Dead Man: A Knives Out Mystery"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTWAKEUPDEADMAN-60,0
"""Wicked: For Good"" Rotten Tomatoes score?",Above 77,no,N/A,KXRTWICKEDFORGOOD-77,199955
"""Wicked: For Good"" Rotten Tomatoes score?",Above 72,no,N/A,KXRTWICKEDFORGOOD-72,312067
"""Wicked: For Good"" Rotten Tomatoes score?",Above 67,yes,N/A,KXRTWICKEDFORGOOD-67,71646
"""Wicked: For Good"" Rotten Tomatoes score?",Above 70,no,N/A,KXRTWICKEDFORGOOD-70,271630
"""Wicked: For Good"" Rotten Tomatoes score?",Above 65,yes,N/A,KXRTWICKEDFORGOOD-65,20149
"""Wicked: For Good"" Rotten Tomatoes score?",Above 82,no,N/A,KXRTWICKEDFORGOOD-82,126805
"""Wicked: For Good"" Rotten Tomatoes score?",Above 92,no,N/A,KXRTWICKEDFORGOOD-92,56432
"""Wicked: For Good"" Rotten Tomatoes score?",Above 87,no,N/A,KXRTWICKEDFORGOOD-87,56621
"""Wicked: For Good"" Rotten Tomatoes score?",Above 95,no,N/A,KXRTWICKEDFORGOOD-95,21211
"""Wicked: For Good"" Rotten Tomatoes score?",Above 85,no,N/A,KXRTWICKEDFORGOOD-85,139094
"""Wicked: For Good"" Rotten Tomatoes score?",Above 80,no,N/A,KXRTWICKEDFORGOOD-80,250216
"""Wicked: For Good"" Rotten Tomatoes score?",Above 90,no,N/A,KXRTWICKEDFORGOOD-90,75839
"""Wicked: For Good"" Rotten Tomatoes score?",Above 75,no,N/A,KXRTWICKEDFORGOOD-75,252715
"""Wicked: For Good"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTWICKEDFORGOOD-60,8167
"""Wicked: For Good"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTWICKEDFORGOOD-45,2255
"""Rental Family"" Rotten Tomatoes score?",Above 92,no,N/A,KXRTRENTALFAMILY-92,28739
"""Rental Family"" Rotten Tomatoes score?",Above 87,yes,N/A,KXRTRENTALFAMILY-87,25377
"""Rental Family"" Rotten Tomatoes score?",Above 95,no,N/A,KXRTRENTALFAMILY-95,13296
"""Rental Family"" Rotten Tomatoes score?",Above 85,yes,N/A,KXRTRENTALFAMILY-85,26434
"""Rental Family"" Rotten Tomatoes score?",Above 80,yes,N/A,KXRTRENTALFAMILY-80,2398
"""Rental Family"" Rotten Tomatoes score?",Above 90,no,N/A,KXRTRENTALFAMILY-90,79123
"""Rental Family"" Rotten Tomatoes score?",Above 75,yes,N/A,KXRTRENTALFAMILY-75,3928
"""Rental Family"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTRENTALFAMILY-60,400
"""Rental Family"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTRENTALFAMILY-45,0
"""The Running Man"" Rotten Tomatoes score?",Above 57,yes,N/A,KXRTTHERUNNINGMAN-57,6719
"""The Running Man"" Rotten Tomatoes score?",Above 55,yes,N/A,KXRTTHERUNNINGMAN-55,3389
"""The Running Man"" Rotten Tomatoes score?",Above 67,no,N/A,KXRTTHERUNNINGMAN-67,22930
"""The Running Man"" Rotten Tomatoes score?",Above 62,yes,N/A,KXRTTHERUNNINGMAN-62,20962
"""The Running Man"" Rotten Tomatoes score?",Above 65,no,N/A,KXRTTHERUNNINGMAN-65,44838
"""The Running Man"" Rotten Tomatoes score?",Above 70,no,N/A,KXRTTHERUNNINGMAN-70,30350
"""The Running Man"" Rotten Tomatoes score?",Above 80,no,N/A,KXRTTHERUNNINGMAN-80,21496
"""The Running Man"" Rotten Tomatoes score?",Above 85,no,N/A,KXRTTHERUNNINGMAN-85,11296
"""The Running Man"" Rotten Tomatoes score?",Above 90,no,N/A,KXRTTHERUNNINGMAN-90,18191
"""The Running Man"" Rotten Tomatoes score?",Above 75,no,N/A,KXRTTHERUNNINGMAN-75,78118
"""The Running Man"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTTHERUNNINGMAN-60,19333
"""The Running Man"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTTHERUNNINGMAN-45,5241
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 65,no,N/A,KXRTNOWYOUSEEME3-65,17525
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 62,no,N/A,KXRTNOWYOUSEEME3-62,16516
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 57,yes,N/A,KXRTNOWYOUSEEME3-57,13584
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 55,yes,N/A,KXRTNOWYOUSEEME3-55,10898
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 90,no,N/A,KXRTNOWYOUSEEME3-90,4988
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 75,no,N/A,KXRTNOWYOUSEEME3-75,31284
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 60,no,N/A,KXRTNOWYOUSEEME3-60,59329
"""Now You See Me: Now You Don't"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTNOWYOUSEEME3-45,29695
"""Sarah's Oil"" Rotten Tomatoes score?",Above 35,yes,N/A,KXRTSARAHSOIL-35,1224
"""Sarah's Oil"" Rotten Tomatoes score?",Above 30,yes,N/A,KXRTSARAHSOIL-30,305
"""Sarah's Oil"" Rotten Tomatoes score?",Above 25,yes,N/A,KXRTSARAHSOIL-25,18929
"""Sarah's Oil"" Rotten Tomatoes score?",Above 65,yes,N/A,KXRTSARAHSOIL-65,5490
"""Sarah's Oil"" Rotten Tomatoes score?",Above 55,yes,N/A,KXRTSARAHSOIL-55,6460
"""Sarah's Oil"" Rotten Tomatoes score?",Above 50,yes,N/A,KXRTSARAHSOIL-50,5955
"""Sarah's Oil"" Rotten Tomatoes score?",Above 40,yes,N/A,KXRTSARAHSOIL-40,6839
"""Sarah's Oil"" Rotten Tomatoes score?",Above 90,no,N/A,KXRTSARAHSOIL-90,4667
"""Sarah's Oil"" Rotten Tomatoes score?",Above 75,yes,N/A,KXRTSARAHSOIL-75,9114
"""Sarah's Oil"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTSARAHSOIL-60,6873
"""Sarah's Oil"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTSARAHSOIL-45,4798
"""Predator: Badlands"" Rotten Tomatoes score?",Above 87,no,N/A,KXRTPREDATORBADLANDS-87,128320
"""Predator: Badlands"" Rotten Tomatoes score?",Above 82,yes,N/A,KXRTPREDATORBADLANDS-82,24983
"""Predator: Badlands"" Rotten Tomatoes score?",Above 77,yes,N/A,KXRTPREDATORBADLANDS-77,1280
"""Predator: Badlands"" Rotten Tomatoes score?",Above 65,yes,N/A,KXRTPREDATORBADLANDS-65,9701
"""Predator: Badlands"" Rotten Tomatoes score?",Above 70,yes,N/A,KXRTPREDATORBADLANDS-70,16765
"""Predator: Badlands"" Rotten Tomatoes score?",Above 95,no,N/A,KXRTPREDATORBADLANDS-95,3966
"""Predator: Badlands"" Rotten Tomatoes score?",Above 85,no,N/A,KXRTPREDATORBADLANDS-85,102269
"""Predator: Badlands"" Rotten Tomatoes score?",Above 80,yes,N/A,KXRTPREDATORBADLANDS-80,35060
"""Predator: Badlands"" Rotten Tomatoes score?",Above 90,no,N/A,KXRTPREDATORBADLANDS-90,109777
"""Predator: Badlands"" Rotten Tomatoes score?",Above 75,yes,N/A,KXRTPREDATORBADLANDS-75,34679
"""Predator: Badlands"" Rotten Tomatoes score?",Above 60,yes,N/A,KXRTPREDATORBADLANDS-60,32762
"""Predator: Badlands"" Rotten Tomatoes score?",Above 45,yes,N/A,KXRTPREDATORBADLANDS-45,2872
